id,story,tradition,claim,type,confidence,source,location,status
C-022,3,Akan · Gold Coast,Spider and his family build a road to the farm and scatter pieces of earthenware along it to suggest long use,PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale VIII,
C-023,3,Akan · Gold Coast,The court rules that no one has ever had a farm without a road leading to it and awards the fields to Spider,PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale VIII,
C-024,3,Akan · Gold Coast,"A storm forces Spider's family to leave the cut corn at the roadside, and a crow claims it on the ground that unattended bundles belong to no one",PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale VIII,
C-025,3,Akan · Gold Coast,The squirrel is not mentioned again after the judgment and does not recover the farm,PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale VIII,
C-026,3,Akan · Gold Coast,Planting potsherds to age a newly built road is forgery of evidence and is the most elaborate deception Anansi performs in the four Akan tales retold here,EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-027,3,Akan · Gold Coast,In Akan forest-zone practice a cleared path to a farm was ordinary evidence of a land claim,SECONDARY SCHOLARSHIP,MEDIUM,scholarship,,
C-028,3,Akan · Gold Coast,The crow's argument has the same logical shape as Anansi's and is only available because Anansi's was upheld,EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-029,4,Akan · Gold Coast,In Barker and Sinclair's tale XI Anansi becomes a fisherman in old age and then goes blind,PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale XI,
C-030,4,Akan · Gold Coast,"Two unnamed men lead him to the canoe, tell him where to set the net and when to step out, so that he does not get wet",PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale XI,
C-031,4,Akan · Gold Coast,"Anansi repeatedly claims to have known already whatever he is told, and becomes ruder over a long period",PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale XI,
C-032,4,Akan · Gold Coast,"The men stop the canoe in deep water, tell him they have reached the beach, and he steps out and drowns because he cannot see which way land lies",PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale XI,
C-033,4,Akan · Gold Coast,The source tale runs to roughly four hundred words and supplies the men with no names and no motive beyond being unable to bear his treatment,PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale XI,
C-034,4,Akan · Gold Coast,Across the four Akan tales retold here the severity of Anansi's punishment rises with the closeness of the person he wrongs,EDITORIAL INTERPRETATION,HIGH,"editorial, from Barker & Sinclair tales III, IV, VIII, XI",,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-035,4,Akan · Gold Coast,"In these tales Anansi is never punished for deception as such, but for ingratitude toward those sustaining him",EDITORIAL INTERPRETATION,MEDIUM,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-036,4,Akan · Gold Coast,"Anansi appears in this tale wholly in human form, with no spider attribute required by the plot",PRIMARY SOURCE,HIGH,"Barker & Sinclair, *West African Folk-Tales*",tale XI,
C-037,5,Jamaica,Beckwith records this tale from George Parkes of Mandeville and notes that it was heard in St Ann parish,PRIMARY SOURCE,HIGH,"Beckwith, *Jamaica Anansi Stories*",Animal Stories no. 1a,
C-038,5,Jamaica,"Anansi calls big and little fish alternately until his pot and basket are full, eats the potful, and hides the pot before meeting Tiger",PRIMARY SOURCE,HIGH,"Beckwith, *Jamaica Anansi Stories*",Animal Stories no. 1a,
C-039,5,Jamaica,"Anansi tells Tiger he has nothing in the basket; Tiger watches from the bush, catches the lie, takes all the fish and eats them, and Anansi eats the spat-out bones",PRIMARY SOURCE,HIGH,"Beckwith, *Jamaica Anansi Stories*",Animal Stories no. 1a,
C-040,5,Jamaica,Anansi covers his muttered complaint with the excuse that a fly is humbugging his face,PRIMARY SOURCE,HIGH,"Beckwith, *Jamaica Anansi Stories*",Animal Stories no. 1a,
C-041,5,Jamaica,"Anansi lures Tiger to lean against a tree on the pretext of picking lice, and ties Tiger's long hair around the trunk while he sleeps",PRIMARY SOURCE,HIGH,"Beckwith, *Jamaica Anansi Stories*",Animal Stories no. 1a,
C-042,5,Jamaica,"Beckwith's text of part a ends as Tiger springs after Anansi and discovers his hair is tied; what follows in her collection are variants, not a continuation",PRIMARY SOURCE,HIGH,"Beckwith, *Jamaica Anansi Stories*",Animal Stories no. 1a,
C-043,5,Jamaica,"Beckwith's headnote states that Tiger takes the place of Lion in earlier Jamaican story-telling, and that 'Tiger-Lion' is coupled in a Jamaican digging-song as a stock name",SECONDARY SCHOLARSHIP,HIGH,"Beckwith, *Jamaica Anansi Stories*",headnote to no. 1,
C-044,5,Jamaica,Beckwith's headnote analyses the type in three parts: a bully takes the weaker one's food; the bully is tricked into being tied and is tormented or robbed; the bully dies or is rescued and turns on the rescuer,SECONDARY SCHOLARSHIP,HIGH,"Beckwith, *Jamaica Anansi Stories*",headnote to no. 1,
C-045,5,Jamaica,"Beckwith's headnote lists analogues in Callaway, Theal, Jacottet, Dayrell, Barker, Cronise and Ward, Rattray, Harris, Christensen, Koch-Grünberg and Lenz, spanning West Africa, southern Africa, the Caribbean, the American South and South America",SECONDARY SCHOLARSHIP,HIGH,"Beckwith, *Jamaica Anansi Stories*",headnote to no. 1,
C-046,5,Jamaica,"Neither tiger nor lion is native to Jamaica, yet one or the other is the standing opponent in these tales",EDITORIAL INTERPRETATION,HIGH,"editorial, on Beckwith's headnote",,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-047,5,Jamaica,"In the Jamaican tale Anansi is not punished, where in three of the four Akan tales retold here he is",EDITORIAL INTERPRETATION,HIGH,"editorial, comparing Beckwith no. 1a with Barker & Sinclair III, IV, VIII, XI",,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-048,5,Jamaica,"Whether the shift in the trickster's treatment arose in the middle passage, in Jamaica, or was latent in the Akan material cannot be determined from the sources held",EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-049,5,Jamaica,"Slavery was abolished in Jamaica in 1834, and Beckwith collected there in the 1920s",SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-050,1,Norse · Iceland,Loki craftily cut off all of Sif's hair; Snorri gives no motive,PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-051,1,Norse · Iceland,Thor seized Loki and would have broken every bone in him until Loki swore to have the dark elves make Sif hair of gold that would grow like real hair,PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-052,1,Norse · Iceland,"The sons of Ivaldi made the hair, the ship Skidbladnir and the spear Gungnir",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-053,1,Norse · Iceland,Loki wagered his own head with the dwarf Brok that Sindri could not make three equally good treasures,PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-054,1,Norse · Iceland,"A fly stung Brok three times while he worked the bellows; only on the third, when blood ran into his eyes, did he let go for a moment",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-055,1,Norse · Iceland,Snorri does not state that the fly is Loki,PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-056,1,Norse · Iceland,"Sindri produced the boar with golden bristles, the ring Draupnir, and the hammer whose one fault was a rather short handle",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-057,1,Norse · Iceland,"Odin, Thor and Frey judged the hammer the best treasure because it was the best protection against the frost-giants, and the dwarf won the wager",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-058,1,Norse · Iceland,"Loki escaped Brok's grasp using shoes that run over air and sea, and Thor caught him",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-059,1,Norse · Iceland,"Loki argued that the head was wagered but not the neck, and Brok accepted the argument and sewed his mouth instead",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-060,1,Norse · Iceland,"The knife would not cut, and the awl appeared as soon as Brok named it; the thread used is called Vartari",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-061,1,Norse · Iceland,"The Prose Edda was written in the 1220s as a handbook for poets, to explain the kennings skaldic verse depends on",SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-062,1,Norse · Iceland,Snorri was killed in his cellar in 1241 on the orders of the king of Norway,SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-063,1,Norse · Iceland,Loki is saved by a construction of the wager's exact terms rather than by strength or alliance,EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-064,2,Norse · Iceland,"Odin, Hœnir and Loki travelled together and came to a waterfall where an otter sat eating a salmon with its eyes closed",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*","Skáldskaparmál, the Niflung matter",
C-065,2,Norse · Iceland,Loki killed the otter with a thrown stone and boasted of taking an otter and a salmon with one throw,PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-066,2,Norse · Iceland,The otter was Hreidmar's son; Hreidmar and his sons Fafnir and Regin bound the gods and a ransom was agreed and sworn,PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-067,2,Norse · Iceland,The price was to fill the flayed otter-skin with red gold and then cover its outside with the same metal,PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-068,2,Norse · Iceland,"Loki caught the dwarf Andvari, who lived as a fish, and took all his gold including a ring the dwarf tried to keep back",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-069,2,Norse · Iceland,"Andvari said the ring would be the bane of everyone who owned it, and Loki said he was glad and would make sure the curse reached its recipient",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-070,2,Norse · Iceland,"Odin kept the ring back until Hreidmar found one muzzle-hair uncovered, at which point Odin used the ring to cover it",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-071,2,Norse · Iceland,Loki announced the curse only after Odin had his spear and Loki had his shoes,PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-072,2,Norse · Iceland,Snorri introduces the whole episode as the reason why gold is called otter-ransom,PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-073,2,Norse · Iceland,"Hreidmar kept the gold and his sons demanded a share, beginning the Niflung disaster",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Skáldskaparmál,
C-074,2,Norse · Iceland,"Wergild, a negotiated compensation payment for a killing, was the working legal instrument of early medieval northern Europe, and Iceland had no king or executive to enforce judgments",SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-075,2,Norse · Iceland,"Taking Andvari's last ring was unnecessary to the ransom, which the rest of the gold already covered",EDITORIAL INTERPRETATION,MEDIUM,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-076,3,Norse · Iceland,"A builder offered the gods a wall proof against mountain and frost giants in three half-years, demanding Freyja, the sun and the moon",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Gylfaginning ch. XIII,
C-077,3,Norse · Iceland,"The gods' counter-terms were one winter, forfeiture if any part was unfinished on the first day of summer, and no man to help him",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Gylfaginning ch. XIII,
C-078,3,Norse · Iceland,"At Loki's suggestion the builder was allowed the use of his horse Svadilfari, which hauled more than half the work",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Gylfaginning ch. XIII,
C-079,3,Norse · Iceland,The bargain was made before witnesses and confirmed by oaths because the giant did not consider himself safe among the gods without them,PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Gylfaginning ch. XIII,
C-080,3,Norse · Iceland,"With three days left only the gateway was unbuilt, and the gods determined that Loki had advised the arrangement and threatened him with death unless he broke it",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Gylfaginning ch. XIII,
C-081,3,Norse · Iceland,"A mare drew Svadilfari away and the two ran all night, halting the work",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Gylfaginning ch. XIII,
C-082,3,Norse · Iceland,"The builder lost his temper, revealed himself a mountain giant, and Thor killed him with the first blow of the hammer, sending him to Niflhel",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Gylfaginning ch. XIII,
C-083,3,Norse · Iceland,"Loki afterwards bore a grey eight-legged foal, the best horse among gods and men",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Gylfaginning ch. XIII,
C-084,3,Norse · Iceland,Snorri frames the whole episode as the answer to a question about the origin of the horse Sleipnir,PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Gylfaginning ch. XIII,
C-085,3,Norse · Iceland,"Snorri quotes the Vǫluspá at this point, which records that oaths, words and promises were broken and names Thor as the one who acted, swollen with anger",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*","Gylfaginning ch. XIII, quoting Vǫluspá 29-30",
C-086,3,Norse · Iceland,"Snorri narrates neither the mating nor any transformation, moving directly from the night's chase to the birth of the foal",PRIMARY SOURCE,HIGH,"Anderson, *The Younger Edda*",Gylfaginning ch. XIII,
C-087,3,Norse · Iceland,"In all three Norse tales retold here Loki causes the crisis, resolves it, and pays personally, while the gods retain the benefit",EDITORIAL INTERPRETATION,HIGH,"editorial, from Gylfaginning XIII and Skáldskaparmál",,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-088,4,Archaic Greece,"The hymn says Hermes was born at dawn, played the lyre at midday and stole Apollo's cattle in the evening of the same day",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Hymn IV ll. 17-19,
C-089,4,Archaic Greece,"The hymn calls him a son of many shifts, blandly cunning, a robber, a cattle driver, a bringer of dreams, a watcher by night, a thief at the gates",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Hymn IV ll. 13-15,
C-090,4,Archaic Greece,"Hermes finds a tortoise at the threshold and tells it that living it is a spell against witchcraft, but dead it will make sweetest song",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Hymn IV ll. 30-38,
C-091,4,Archaic Greece,"He builds the lyre by hollowing the shell with a scoop of grey iron, fixing cut reeds across it, stretching ox hide over it, fitting two horns and a crossbar, and stringing seven strings of sheep gut",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Hymn IV ll. 39-51,
C-092,4,Archaic Greece,"The first song he sings on the new lyre is about his own conception, his mother's house and its tripods and cauldrons",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Hymn IV ll. 54-61,
C-093,4,Archaic Greece,"He cut fifty cattle from the herd in Pieria and reversed their hoofprints, making the front behind and the hind before, while walking the other way",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Hymn IV ll. 68-78,
C-094,4,Archaic Greece,"He wove sandals of tamarisk and myrtle twigs, described by the hymn as wonderful things, unthought of, unimagined",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Hymn IV ll. 79-86,
C-095,4,Archaic Greece,"He did not eat the meat though he desired to, but stored it to be a token of his youthful theft and burned the hoofs and heads",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Hymn IV ll. 130-137,
C-096,4,Archaic Greece,"He returned through the keyhole like the autumn breeze, even as mist, and lay in his cradle in swaddling clothes with the lyre at his left hand",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Hymn IV ll. 145-154,
C-097,4,Archaic Greece,"Maia accused him of wearing shamelessness as a garment, and he replied that he would seek the same honours as Apollo or else be a prince of robbers and plunder Pytho",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Hymn IV ll. 155-181,
C-098,4,Archaic Greece,The old man of Onchestus told Apollo he thought he had seen a child driving cattle backwards with their heads toward him,PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Hymn IV ll. 201-211,
C-099,4,Archaic Greece,"The tortoise-shell lyre or chelys was a real archaic Greek instrument, distinct from the professional kithara",SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-100,4,Archaic Greece,The Homeric Hymns are not by Homer and the date of the Hymn to Hermes is disputed,SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-101,4,Archaic Greece,In the remainder of the hymn Hermes trades the lyre to Apollo and gains a place among the gods,PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*","Hymn IV, after l. 218",
C-102,4,Archaic Greece,"The reversed hoofprints, the woven sandals and the uneaten meat together form a deliberate three-part system against being tracked or convicted",EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-103,5,Archaic Greece,"At Mekone Prometheus cut up a great ox and set out two portions, hiding flesh and fat inner parts under the paunch and dressing the white bones in shining fat",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Theogony ll. 535-541,
C-104,5,Archaic Greece,Zeus complained that the portions were unfairly divided and Prometheus invited him to take whichever he pleased,PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Theogony ll. 543-548,
C-105,5,Archaic Greece,"Hesiod states that Zeus saw and failed not to perceive the trick, and took the white fat knowingly while planning mischief against mortal men",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Theogony ll. 550-552,
C-106,5,Archaic Greece,The episode is given as the reason men burn white bones to the gods on altars,PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Theogony ll. 556-557,
C-107,5,Archaic Greece,"Zeus withheld fire from mortals, and Prometheus stole it in a hollow fennel stalk",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Theogony ll. 561-567,
C-108,5,Archaic Greece,"In answer Zeus had the smith god form a maiden of earth, whom Athene clothed in silver with an embroidered veil, flower garlands and a gold crown worked with creatures like living beings with voices",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Theogony ll. 570-584,
C-109,5,Archaic Greece,"Hesiod calls her sheer guile, not to be withstood by men, and does not name her in the Theogony passage",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Theogony ll. 585-589,
C-110,5,Archaic Greece,The jar of evils belongs to the Works and Days version and is absent from the Theogony account,EDITORIAL INTERPRETATION,HIGH,"editorial, on Evelyn-White's text",,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-111,5,Archaic Greece,"Zeus bound Prometheus with inextricable chains, drove a shaft through his middle and set an eagle to eat his liver, which regrew each night",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Theogony ll. 521-525,
C-112,5,Archaic Greece,"Heracles killed the eagle and freed Prometheus, and Hesiod states this was not without the will of Zeus, who allowed it so that Heracles' glory would be greater",PRIMARY SOURCE,HIGH,"Evelyn-White, *Hesiod, the Homeric Hymns and Homerica*",Theogony ll. 526-534,
C-113,5,Archaic Greece,"Greek sacrificial practice burned bones and fat for the gods while worshippers ate the meat, which this passage explains",SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-114,5,Archaic Greece,Hesiod presents himself as a Boeotian farmer and is conventionally dated to around 700 BC,SECONDARY SCHOLARSHIP,MEDIUM,scholarship,,
C-115,5,Archaic Greece,"Because Hesiod states that Zeus perceived the trick and chose the bones anyway, the deception succeeds in form while failing in substance, and supplies Zeus with a pretext",EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-116,5,Archaic Greece,"The Theogony's subject is the consolidation of Zeus's power, and Prometheus functions in it as the last challenge to that consolidation",EDITORIAL INTERPRETATION,MEDIUM,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-117,1,Ireland,Fin M'Coul built on top of Knockmany in order to see Cucullin coming,PRIMARY SOURCE,HIGH,"Jacobs, *Celtic Folk and Fairy Tales*",no. XVIII,
C-118,1,Ireland,Cucullin could shake a townland by stamping and carried a thunderbolt flattened into a pancake to show doubters,PRIMARY SOURCE,HIGH,"Jacobs, *Celtic Folk and Fairy Tales*",no. XVIII,
C-119,1,Ireland,"Fin learns things by putting his thumb in his mouth, and uses it to see Cucullin below Dungannon and to fix his arrival at two o'clock",PRIMARY SOURCE,HIGH,"Jacobs, *Celtic Folk and Fairy Tales*",no. XVIII,
C-120,1,Ireland,"Oonagh signalled a welcome with a high smoke and three whistles, which the text says was the old Irish sign that travellers were welcome",PRIMARY SOURCE,HIGH,"Jacobs, *Celtic Folk and Fairy Tales*",no. XVIII,
C-121,1,Ireland,"She plaited nine woollen threads of different colours into three plaits and wore them on her right arm, round her heart and round her right ankle",PRIMARY SOURCE,HIGH,"Jacobs, *Celtic Folk and Fairy Tales*",no. XVIII,
C-122,1,Ireland,"She borrowed twenty-one iron griddles and baked one into the middle of each of twenty-one cakes of bread, and made curds and whey from new milk",PRIMARY SOURCE,HIGH,"Jacobs, *Celtic Folk and Fairy Tales*",no. XVIII,
C-123,1,Ireland,She had Fin lie in the cradle and pass for his own child,PRIMARY SOURCE,HIGH,"Jacobs, *Celtic Folk and Fairy Tales*",no. XVIII,
C-124,1,Ireland,"Cucullin turned the house at her request and split a solid rock by cracking his right middle finger nine times, tearing a cleft since called Lumford's Glen",PRIMARY SOURCE,HIGH,"Jacobs, *Celtic Folk and Fairy Tales*",no. XVIII,
C-125,1,Ireland,"Cucullin lost four teeth on two of the griddle cakes, while the supposed infant ate a cake with no griddle in it",PRIMARY SOURCE,HIGH,"Jacobs, *Celtic Folk and Fairy Tales*",no. XVIII,
C-126,1,Ireland,Fin squeezed whey from curds substituted for a white stone Cucullin had failed to squeeze,PRIMARY SOURCE,HIGH,"Jacobs, *Celtic Folk and Fairy Tales*",no. XVIII,
C-127,1,Ireland,"Cucullin's whole strength lay in the middle finger of his right hand, and the tale ends as he puts his finger into the supposed child's mouth",PRIMARY SOURCE,HIGH,"Jacobs, *Celtic Folk and Fairy Tales*",no. XVIII,
C-128,1,Ireland,Jacobs names his source as Carleton's Traits and Stories of the Irish Peasantry and gives Kennedy's Scottish parallel,SECONDARY SCHOLARSHIP,HIGH,"Jacobs, *Celtic Folk and Fairy Tales*",notes to no. XVIII,
